"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"47","AcB2","GO:0034101","erythrocyte homeostasis","6/103","139/18614",0.000122856872657298,0.00526977564419389,0.00469415061037739,"6229/93974/567/6772/9636/7538",6
"52","AcB2","GO:0051882","mitochondrial depolarization","3/103","21/18614",0.000203543058586845,0.00774231709643547,0.00689661286890085,"10399/93974/2537",3
"53","AcB2","GO:1900118","negative regulation of execution phase of apoptosis","3/103","21/18614",0.000203543058586845,0.00774231709643547,0.00689661286890085,"100463486/100463498/100462977",3
"54","AcB2","GO:0140888","interferon-mediated signaling pathway","5/103","100/18614",0.0002335664821811,0.00860412636462847,0.00766428549397252,"8519/10581/6772/9636/3665",5
"58","AcB2","GO:0032479","regulation of type I interferon production","5/103","104/18614",0.000280363808751823,0.00957988878718093,0.00853346400946672,"6772/9636/3665/5966/2597",5
"59","AcB2","GO:0032606","type I interferon production","5/103","104/18614",0.000280363808751823,0.00957988878718093,0.00853346400946672,"6772/9636/3665/5966/2597",5
"65","AcB2","GO:2000272","negative regulation of signaling receptor activity","4/103","66/18614",0.000489724779516581,0.0151890023923912,0.01352988621628,"100463486/100463498/100462977/4061",4
"68","AcB2","GO:0070527","platelet aggregation","4/103","73/18614",0.00071802355888302,0.0209238082587896,0.0186382711411315,"60/1192/5478/71",4
"69","AcB2","GO:0019883","antigen processing and presentation of endogenous antigen","3/103","32/18614",0.000726269954618642,0.0209238082587896,0.0186382711411315,"972/567/3106",3
"74","AcB2","GO:0045862","positive regulation of proteolysis","8/103","365/18614",0.000953976026811296,0.0259894009466429,0.0231505419877677,"10399/29997/6923/93974/5721/6281/11337/387",8
"76","AcB2","GO:0050863","regulation of T cell activation","8/103","377/18614",0.00117343776444198,0.031126980698882,0.027726936650111,"9750/58515/972/567/5880/9308/387/60",8
"79","AcB2","GO:0051342","regulation of cyclic-nucleotide phosphodiesterase activity","2/103","10/18614",0.00132562297756417,0.033405699034617,0.0297567473647957,"10399/801",2
"80","AcB2","GO:0098885","modification of postsynaptic actin cytoskeleton","2/103","10/18614",0.00132562297756417,0.033405699034617,0.0297567473647957,"5216/387",2
"84","AcB2","GO:0010269","response to selenium ion","2/103","11/18614",0.00161436384533082,0.0382889119080816,0.0341065600016642,"6415/140606",2
